growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,translation_elong_rate_aa_s,fraction_active_rib_equivalent,estim_useless_fraction,nutrient_type,cm_type,useless_type,media_details,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
1.8,0.476,0.36176,0.226576,16.7,0.958,NaN,23,0,0,RDM + 0.2% glucose + 10 mM NH4Cl,0,Dai 2016,11.6694895011249,0,0,0.154246705952438,0.345753294047562,0.5,1,1.79998031569506
1.46,0.495,0.3762,0.23562,NaN,NaN,NaN,23,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,2,Dai 2016,11.6694895011249,0.557343750000002,0,0.125112798007442,0.374887201992558,0.5,0.736772502595449,1.4600024828042
1.08,0.551,0.41876,0.262276,16.8,0.505,NaN,23,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,4,Dai 2016,11.6694895011249,1.20796875,0,0.0925488488425386,0.407451151157461,0.5,0.494143358109935,1.0799978199092
0.87,0.582,0.44232,0.277032,NaN,NaN,NaN,23,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,6,Dai 2016,11.6694895011249,1.59265625000001,0,0.0745546549350689,0.425445345064931,0.5,0.378517085530945,0.870014763024773
0.57,0.621,0.47196,0.295596,17.3,0.243,NaN,23,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,8,Dai 2016,11.6694895011249,2.22242187500001,0,0.0488449145312347,0.451155085468765,0.5,0.231638520975383,0.569995217305584
0.98,0.294,0.22344,0.139944,15.9,0.865,NaN,24,0,0,0.2% glucose + 10 mM NH4Cl,0,Dai 2016,3.39697152156559,0,0,0.288486047439693,0.211513952560307,0.5,1,0.979978887521658
0.71,0.358,0.27208,0.170408,16,0.519,NaN,24,1,0,0.2% glucose + 10 mM NH4Cl,2,Dai 2016,3.39697152156559,0.857265625000003,0,0.209012235486947,0.290987764513053,0.5,0.485828062248407,0.71000861160792
0.53,0.44,0.3344,0.20944,16.1,0.318,NaN,24,1,0,0.2% glucose + 10 mM NH4Cl,4,Dai 2016,3.39697152156559,1.49648437500001,0,0.156020109726866,0.343979890273134,0.5,0.296262272435006,0.529995869533703
0.41,0.487,0.37012,0.231812,16.2,0.222,NaN,24,1,0,0.2% glucose + 10 mM NH4Cl,6,Dai 2016,3.39697152156559,1.98953125000001,0,0.12069575565532,0.37930424434468,0.5,0.204038271418818,0.410000044734962
0.33,0.511,0.38836,0.243236,16.5,0.164,NaN,24,1,0,0.2% glucose + 10 mM NH4Cl,8,Dai 2016,3.39697152156559,2.38023437500001,0,0.0971453463713363,0.402854653628664,0.5,0.153012141163393,0.329999975076054
0.26,0.569,0.43244,0.270844,16.6,0.123,NaN,24,1,0,0.2% glucose + 10 mM NH4Cl,9,Dai 2016,3.39697152156559,2.80546875000001,0,0.0765397017129092,0.423460298287091,0.5,0.113728124638009,0.260003186987878
0.69,0.217,0.16492,0.103292,14.7,0.888,NaN,25,0,0,0.2% fructose + 10 mM NH4Cl,0,Dai 2016,2.04048943752029,0,0,0.338159618645686,0.161840381354314,0.5,1,0.690011130042412
0.46,0.286,0.21736,0.136136,NaN,NaN,NaN,25,1,0,0.2% fructose + 10 mM NH4Cl,2,Dai 2016,2.04048943752029,1.096484375,0,0.225433435359802,0.274566564640198,0.5,0.338063187758405,0.459994543715589
0.35,0.323,0.24548,0.153748,15.9,0.29,NaN,25,1,0,0.2% fructose + 10 mM NH4Cl,4,Dai 2016,2.04048943752029,1.72625000000001,0,0.171527065995055,0.328472934004945,0.5,0.206777410122446,0.349999166411755
0.27,0.394,0.29944,0.187544,NaN,NaN,NaN,25,1,0,0.2% fructose + 10 mM NH4Cl,6,Dai 2016,2.04048943752029,2.28414062500001,0,0.132320703285117,0.367679296714883,0.5,0.139404496392463,0.269998997418538
0.21,0.457,0.34732,0.217532,16.3,0.124,NaN,25,1,0,0.2% fructose + 10 mM NH4Cl,8,Dai 2016,2.04048943752029,2.82062500000001,0,0.102915810971935,0.397084189028065,0.5,0.0990213651818646,0.209998625242069
0.46,0.172,0.13072,0.081872,12.6,0.879,NaN,26,0,0,60 mM acetate + 10 mM NH4Cl,0,Dai 2016,1.21212756603883,0,0,0.379494038390711,0.120505961609289,0.5,1,0.45999518508078
0.25,0.246,0.18696,0.117096,14.5,0.303,NaN,26,1,0,60 mM acetate + 10 mM NH4Cl,3,Dai 2016,1.21212756603883,1.71968750000001,0,0.206246313821118,0.293753686178882,0.5,0.16910638748641,0.249996842376473
0.18,0.304,0.23104,0.144704,15.6,0.17,NaN,26,1,0,60 mM acetate + 10 mM NH4Cl,6,Dai 2016,1.21212756603883,2.57554687500001,0,0.148500617904607,0.351499382095393,0.5,0.0980553073827016,0.180001692535974
0.33,0.152,0.11552,0.072352,12,0.756,NaN,27,0,0,20 mM potassium aspartate,0,Dai 2016,0.816097292021169,0,0,0.404353099212666,0.0956469007873344,0.5,1,0.329991469287823
0.24,0.231,0.17556,0.109956,15.3,0.282,NaN,27,1,0,20 mM potassium aspartate,2,Dai 2016,0.816097292021169,1.00140625,0,0.294082138423006,0.205917861576994,0.5,0.253465144401743,0.23999963679881
0.17,0.292,0.22192,0.138992,15.8,0.158,NaN,27,1,0,20 mM potassium aspartate,4,Dai 2016,0.816097292021169,2.05765625000001,0,0.208310520046003,0.291689479953997,0.5,0.115997136502411,0.170001651309065
