growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,translation_elong_rate_aa_s,fraction_active_rib_equivalent,estim_useless_fraction,nutrient_type,cm_type,useless_type,media_details,cm_uM,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
1.58,0.442105263,0.336,0.210526316,NaN,NaN,0,1,0,0,to add,NaN,8.31817251384155,0,0,0.189952398519198,0.310047601480802,0.5,1,1.57998667056733
1.18,0.473684211,0.36,0.22556391,NaN,NaN,0,1,1,0,to add,NaN,8.31817251384155,0.133198342088617,0,0.141848985755626,0.358151014244374,0.5,0.628094471909736,1.1800055966892
0.9,0.552631579,0.42,0.263157895,NaN,NaN,0,1,2,0,to add,NaN,8.31817251384155,0.223041022216849,0,0.108179599739823,0.391820400260177,0.5,0.430756994610936,0.899980072701826
0.32,0.656578947,0.499,0.312656641,NaN,NaN,0,1,3,0,to add,NaN,8.31817251384155,0.40311076696821,0,0.038468024148742,0.461531975851258,0.5,0.126581064671185,0.320018406252427
0.13,0.730263158,0.555,0.347744361,NaN,NaN,0,1,4,0,to add,NaN,8.31817251384155,0.460800514580619,0,0.0156391217442006,0.484360878255799,0.5,0.0486421689547303,0.129998070544536
1.31,0.396052632,0.301,0.188596491,NaN,NaN,0,2,0,0,to add,NaN,5.60048318513326,0,0,0.233914231044337,0.266085768955663,0.5,1,1.30999493956982
0.91,0.451315789,0.343,0.21491228,NaN,NaN,0,2,1,0,to add,NaN,5.60048318513326,0.162015266903337,0,0.162494470046086,0.337505529953914,0.5,0.519962630166505,0.910012282496265
0.47,0.584210526,0.444,0.278195489,NaN,NaN,0,2,2,0,to add,NaN,5.60048318513326,0.328841255692223,0,0.0839211281750888,0.416078871824911,0.5,0.209666056221665,0.469994468913526
0.2,0.681578947,0.518,0.324561403,NaN,NaN,0,2,3,0,to add,NaN,5.60048318513326,0.427797749417881,0,0.0357306448755942,0.464269355124406,0.5,0.078556995640498,0.199964165016039
0.11,0.746052632,0.567,0.355263158,NaN,NaN,0,2,4,0,to add,NaN,5.60048318513326,0.460391775689793,0,0.0196481191195626,0.480351880880437,0.5,0.0415530905261779,0.109997940146703
1,0.272368421,0.207,0.129699248,NaN,NaN,0,3,0,0,to add,NaN,3.50547701389949,0,0,0.285262590237887,0.214737409762113,0.5,1,0.999981453004344
0.87,0.322368421,0.245,0.153508772,NaN,NaN,0,3,1,0,to add,NaN,3.50547701389949,0.0727319571645692,0,0.248166077147343,0.251833922852657,0.5,0.711190786607715,0.869985235732808
0.67,0.353947368,0.269,0.168546366,NaN,NaN,0,3,2,0,to add,NaN,3.50547701389949,0.177286714029344,0,0.191127934195305,0.308872065804695,0.5,0.426018945522106,0.670010653087007
0.45,0.448684211,0.341,0.213659148,NaN,NaN,0,3,3,0,to add,NaN,3.50547701389949,0.286425118403394,0,0.128374071105312,0.371625928894688,0.5,0.229264978212645,0.450015034965858
0.28,0.547368421,0.416,0.260651629,NaN,NaN,0,3,4,0,to add,NaN,3.50547701389949,0.36825887710884,0,0.0798538766348868,0.420146123365113,0.5,0.123498095949781,0.279997108821594
0.71,0.210526316,0.16,0.100250627,NaN,NaN,0,4,0,0,to add,NaN,2.12080060584333,0,0,0.334771112805148,0.165228887194852,0.5,1,0.709982778856003
0.58,0.296052632,0.225,0.140977444,NaN,NaN,0,4,1,0,to add,NaN,2.12080060584333,0.103772219762739,0,0.273480541962393,0.226519458037607,0.5,0.54188385994853,0.579997699080205
0.38,0.411842105,0.313,0.196115288,NaN,NaN,0,4,2,0,to add,NaN,2.12080060584333,0.246770042347731,0,0.179187860793601,0.320812139206399,0.5,0.230795807919947,0.380022753141552
0.23,0.448684211,0.341,0.213659148,NaN,NaN,0,4,3,0,to add,NaN,2.12080060584333,0.348419775370053,0,0.108441166677515,0.391558833322485,0.5,0.110172608255024,0.230002817533455
0.15,0.494736842,0.376,0.235588972,NaN,NaN,0,4,4,0,to add,NaN,2.12080060584333,0.401524907728205,0,0.0707734784848908,0.429226521515109,0.5,0.0645384485775045,0.150011800038409
0.57,0.213157895,0.162,0.10150376,NaN,NaN,0,5,0,0,to add,NaN,1.58559400199655,0,0,0.359488981874408,0.140511018125592,0.5,1,0.57000357344391
0.5,0.284210526,0.216,0.135338346,NaN,NaN,0,5,1,0,to add,NaN,1.58559400199655,0.0724046296987838,0,0.315343532427767,0.184656467572233,0.5,0.607895511861987,0.500006813585874
0.4,0.352631579,0.268,0.1679198,NaN,NaN,0,5,2,0,to add,NaN,1.58559400199655,0.165036933745413,0,0.252277615675543,0.247722384324457,0.5,0.333782717312886,0.400009874253133
0.3,0.373684211,0.284,0.177944862,NaN,NaN,0,5,3,0,to add,NaN,1.58559400199655,0.251986990345593,0,0.189171051226197,0.310828948773803,0.5,0.18930655802922,0.300015765522856
0.24,0.467105263,0.355,0.222431078,NaN,NaN,0,5,4,0,to add,NaN,1.58559400199655,0.302703916780876,0,0.151308056933187,0.348691943066813,0.5,0.13188726381649,0.240001426395064
0.4,0.167105263,0.127,0.079573935,NaN,NaN,0,6,0,0,to add,NaN,1.02342757337784,0,0,0.390829615951553,0.109170384048447,0.5,1,0.399985805457492
0.34,0.276315789,0.21,0.131578947,NaN,NaN,0,6,1,0,to add,NaN,1.02342757337784,0.0890482617778797,0,0.332208655657646,0.167791344342354,0.5,0.469291684103862,0.339991498314821
0.25,0.356578947,0.271,0.169799499,NaN,NaN,0,6,2,0,to add,NaN,1.02342757337784,0.204472707367742,0,0.244257913430716,0.255742086569284,0.5,0.200472983892904,0.249992406803918
0.19,0.394736842,0.3,0.187969925,NaN,NaN,0,6,3,0,to add,NaN,1.02342757337784,0.277088869984291,0,0.185733479613204,0.314266520386796,0.5,0.118299748750669,0.18999708642148
0.12,0.598684211,0.455,0.28508772,NaN,NaN,0,6,4,0,to add,NaN,1.02342757337784,0.36017271292206,0,0.117229442218489,0.382770557781511,0.5,0.0590375732930603,0.119999297351878
1.744,NaN,NaN,NaN,NaN,NaN,0,19,0,0,to add,NaN,10.6679876026797,0,0,0.163481076871153,0.336518923128847,0.5,1,1.74401822114846
1.74,NaN,NaN,NaN,NaN,NaN,0.007,19,0,1,to add,NaN,10.6679876026797,0,0.00101933479223128,0.163105897307509,0.33587476790026,0.5,1,1.74001582023769
1.79,NaN,NaN,NaN,NaN,NaN,0.022,19,0,1,to add,NaN,10.6679876026797,0,0,0.163481076871153,0.336518923128847,0.5,1,1.74401822114846
1.71,NaN,NaN,NaN,NaN,NaN,0.007,19,0,1,to add,NaN,10.6679876026797,0,0.00866893787435663,0.160291331556153,0.331039730569491,0.5,1,1.70999014211831
1.52,NaN,NaN,NaN,NaN,NaN,0.039,19,0,1,to add,NaN,10.6679876026797,0,0.0571874188904514,0.142483427487082,0.300329153622467,0.5,1,1.52001604939256
1.12,NaN,NaN,NaN,NaN,NaN,0.118,19,0,1,to add,NaN,10.6679876026797,0,0.160280772940226,0.104966077451249,0.234753149608525,0.5,1,1.11999990367055
1.09,NaN,NaN,NaN,NaN,NaN,0.137,19,0,1,to add,NaN,10.6679876026797,0,0.168056234264718,0.102175742328648,0.229768023406634,0.5,1,1.09000572464474
0.99,NaN,NaN,NaN,NaN,NaN,0.169,19,0,1,to add,NaN,10.6679876026797,0,0.194156529720558,0.0927977493544374,0.213045720925004,0.5,1,0.989946726813107
0.83,NaN,NaN,NaN,NaN,NaN,0.176,19,0,1,to add,NaN,10.6679876026797,0,0.23625077451604,0.0777991063913073,0.185950119092653,0.5,1,0.829960979012221
0.63,NaN,NaN,NaN,NaN,NaN,0.189,19,0,1,to add,NaN,10.6679876026797,0,0.28972828739402,0.059057809177618,0.151213903428362,0.5,1,0.630033904882066
0.82,NaN,NaN,NaN,NaN,NaN,0.202,19,0,1,to add,NaN,10.6679876026797,0,0.238899911507924,0.0768615328133153,0.18423855567876,0.5,1,0.8199591697034
0.73,NaN,NaN,NaN,NaN,NaN,0.246,19,0,1,to add,NaN,10.6679876026797,0,0.262847782948292,0.0684261406100568,0.168726076441651,0.5,1,0.729972603685739
0.66,NaN,NaN,NaN,NaN,NaN,0.26,19,0,1,to add,NaN,10.6679876026797,0,0.281642735842762,0.0618632293723078,0.15649403478493,0.5,1,0.659961325800845
0.9012,NaN,NaN,NaN,NaN,NaN,0,20,0,0,to add,NaN,2.98497880864992,0,0,0.301916230455482,0.198083769544518,0.5,1,0.901213549897082
0.92,NaN,NaN,NaN,NaN,NaN,0.007,20,0,1,to add,NaN,2.98497880864992,0,0,0.301916230455482,0.198083769544518,0.5,1,0.901213549897082
